1971
2,5,21,25,27,32+28,40
5,6,8,9,13,19+3,12
1,3,11,18,25,39+5,35
10,11,20,33,34,35+5,19
1,2,5,10,13,14+4,9
7,10,11,13,21,34+6,31
1,4,19,21,31,33+6,18
4,24,26,28,32,36+5,27
5,12,13,17,18,39+4,6
7,20,21,28,37,39+1,4
3,16,21,22,29,38+4,18
2,4,5,11,13,38+29,37
7,16,17,20,25,37+3,4
1,5,14,16,35,38+7,34
1,2,4,6,18,23+7,8
4,5,14,21,29,31+3,6
5,10,16,20,31,34+17,25
6,11,13,21,31,37+22,27
8,10,17,25,35,37+15,32
3,13,14,15,23,24+16,25
10,15,17,28,39,40+20,21
3,6,9,15,34,37+31,39
5,7,9,13,19,31+20,39
4,11,18,20,31,35+5,17
3,4,15,18,21,35+29,37
9,15,27,33,34,35+29,38
16,18,19,22,26,33+21,37
1,5,13,22,23,27+6,20
5,7,24,28,34,38+15,16
7,8,18,21,29,36+17,24
1,12,21,29,30,39+23,32
2,4,6,19,29,30+10,14
4,12,17,21,27,37+15,29
6,10,25,28,30,36+18,27
1,6,14,23,27,30+21,39
1,3,5,15,24,29+22,37
2,8,9,10,29,32+3,40
1,6,11,19,22,27+15,17
14,18,30,31,32,40+1,15
1,5,9,12,27,33+32,34
1,10,16,19,23,35+25,30
2,8,13,14,28,37+30,33
11,15,17,26,31,40+4,28
5,17,24,31,35,38+2,22
5,17,21,29,30,31+14,24
6,18,22,24,25,32+8,35
3,5,13,15,35,40+2,14
2,5,16,21,22,26+30,40
3,5,6,7,11,38+9,31
0,14,15,17,25,31+6,16
2,11,14,19,38,39+21,28
4,7,25,35,36,37+13,22
1,8,15,24,25,34+11,19
3,11,22,23,27,37+8,10
1,3,4,19,20,26+24,27
4,5,12,16,27,33+6,11
3,12,22,26,29,34+16,27
1,4,24,32,35,38+7,21
1980
3,5,8,14,20,31+9,23
2,3,4,10,21,37+17,34
1,14,22,29,30,33+18,20
1,5,7,11,24,28+14,21
1,2,16,17,24,28+11,21
2,25,32,34,37,40+1,15
5,7,8,10,17,18+11,16
2,6,14,15,17,22+5,12
1,4,8,14,24,31+18,30
15,19,20,21,24,31+22,30
1,2,3,18,25,28+10,18
6,22,23,24,37,40+12,15
1,6,12,18,24,38+17,22
1,5,19,29,31,37+6,25
1,17,19,34,39,40+2,15
2,15,18,29,33,37+1,7
1,2,5,7,22,31+10,34
4,5,13,17,32,34+3,9
2,4,13,17,34,37+24,25
1,7,13,22,24,32+25,26
1,3,8,9,18,25+5,32
1,9,15,18,26,40+7,11
1,8,12,30,36,39+3,28
1,2,8,21,22,40+6,9
2,8,20,31,34,36+27,39
1,18,19,24,30,34+3,27
2,7,13,20,27,35+9,28
1,3,6,7,15,38+2,28
14,16,26,28,29,37+2,21
11,14,18,22,30,34+8,9
3,9,13,16,21,36+8,15
1,2,9,18,37,39+11,31
8,14,17,32,34,38+18,30
1,7,15,22,33,40+8,11
3,14,23,29,33,37+8,31
2,5,7,8,11,27+15,21
3,6,22,23,25,33+26,39
2,6,12,16,30,39+24,40
7,10,19,23,29,34+8,25
7,8,9,16,17,18,30+2,10,12,36
1,2,3,7,20,35,37+4,8,17,26
3,6,8,9,12,16,24+10,11,30,31
5,7,14,18,24,26,31+1,6,17,27
3,5,19,21,26,27,29+1,15,16,30
3,13,18,22,30,31,36+1,4,9,24
6,7,20,23,32,35,36+1,2,4,18
1,4,7,10,19,26,33+2,11,12,14
3,9,24,25,29,33,34+1,5,17,20
4,12,14,21,25,31,33+15,19,22,36
3,7,8,15,19,23,32+4,5,20,24
1,3,6,13,17,18,20+4,7,23,37
5,7,8,16,21,28,29+4,20,25,37
1981
2,3,12,14,19,26,30+13,24,34,37
1,12,15,16,20,29,31+13,21,23,28
5,8,10,15,20,26,34+1,3,12,30
1,9,16,17,25,26,33+5,15,20,36
3,4,15,25,31,33,37+1,14,22,27
2,5,7,11,24,29,37+4,13,20,35
2,4,5,13,14,15,36+1,6,29,31
3,5,15,16,18,29,35+4,23,24,33
2,3,7,18,23,26,37+6,19,20,27
2,4,5,16,18,22,31+15,24,26,27
1,4,5,6,7,22,29+3,12,19,31
4,9,18,23,24,30,32+5,8,25,37
5,9,18,23,25,34,37+8,13,14,35
3,5,6,14,16,25,35+2,20,22,31
2,4,6,8,24,31,37+3,14,33,35
6,12,17,27,29,31,35+8,20,21,24
3,8,13,14,16,26,29+22,23,27,34
2,9,13,15,22,27,31+7,14,16,33
1,3,7,17,19,22,34+12,30,31,33
5,8,10,16,19,21,32+3,17,18,31
1,7,9,11,19,28,29+5,12,32,34
5,9,12,15,16,22,37+2,25,33,34
2,9,15,18,23,34,35+1,5,11,24
1,5,17,20,21,31,35+3,18,28,33
5,10,20,21,29,36,37+6,12,19,26
4,10,14,21,23,28,30+1,3,9,13
3,5,7,9,10,13,33+4,14,18,22
8,17,21,22,23,26,32+6,14,24,28
2,5,14,15,20,24,26+3,6,21,33
8,9,10,16,21,28,31+11,23,25,37
8,14,19,20,25,28,32+1,5,21,22
3,10,14,20,23,26,33+8,25,28,34
4,18,21,22,31,32,34+1,2,33,36
6,8,22,24,26,32,35+2,16,25,30
1,8,13,16,30,34,35+3,12,18,29
3,6,8,9,12,15,30+1,14,19,22
5,13,16,21,25,26,35+7,17,29,36
5,6,8,14,15,22,25+10,11,24,28
3,6,8,10,19,30,33+5,9,15,37
1,11,16,23,27,35,36+2,7,17,31
1,3,6,22,24,31,33+10,13,17,30
4,7,11,15,17,28,33+1,6,12,13
1,3,4,6,7,18,25+11,13,23,33
3,5,8,9,10,31,36+1,21,26,27
18,20,21,22,23,24,26,33+4,5,15,36
1,2,3,5,13,16,29+4,10,25,30
3,7,12,13,15,22,35+8,19,28,34
3,4,21,26,27,29,36+7,17,18,20
3,5,9,17,19,34,35+1,22,26,28
1,3,6,13,14,31,32+5,10,19,23
2,7,8,12,24,30,35+5,10,22,27
2,3,4,9,15,18,37+11,16,25,35
1982
7,10,11,18,19,31,33+2,4,17,29
3,5,6,13,17,24,36+7,21,33,37
1,8,13,14,17,20,37+11,18,25,26
7,13,17,19,28,33,34+1,6,8,15
9,12,15,29,23,24,31+13,18,21,28
